"Statistic Label","Year","Settlements","UNIT","VALUE"
"Number of New Dwelling Completions","2012","Innishannon, Co Cork","Number","1"
"Number of New Dwelling Completions","2012","Killumney, Co Cork","Number","2"
"Number of New Dwelling Completions","2012","Bantry, Co Cork","Number","1"
"Number of New Dwelling Completions","2012","Durrus, Co Cork","Number","0"
"Number of New Dwelling Completions","2012","Castletownbere, Co Cork","Number","0"
"Number of New Dwelling Completions","2012","Clonakilty, Co Cork","Number","4"
"Number of New Dwelling Completions","2012","Courtmacsherry, Co Cork","Number","0"
"Number of New Dwelling Completions","2012","Rosscarbery, Co Cork","Number","1"
"Number of New Dwelling Completions","2012","Timoleague, Co Cork","Number","1"
"Number of New Dwelling Completions","2012","Cobh, Co Cork","Number","1"
"Number of New Dwelling Completions","2012","Blarney, Co Cork","Number","0"
"Number of New Dwelling Completions","2012","Carrigaline, Co Cork","Number","17"
"Number of New Dwelling Completions","2012","Model Village or Dripsey, Co Cork","Number","2"
"Number of New Dwelling Completions","2012","Passage West, Co Cork","Number","2"
"Number of New Dwelling Completions","2012","Ringaskiddy-Loughbeg, Co Cork","Number","1"
"Number of New Dwelling Completions","2012","Tower, Co Cork","Number","4"
"Number of New Dwelling Completions","2012","Watergrasshill, Co Cork","Number","7"
"Number of New Dwelling Completions","2012","Béal Átha An Ghaorthaidh,Co Cork","Number","0"
"Number of New Dwelling Completions","2012","Dunmanway, Co Cork","Number","3"
"Number of New Dwelling Completions","2012","Inchigeelagh, Co Cork","Number","0"
"Number of New Dwelling Completions","2012","Fermoy, Co Cork","Number","0"
