"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C01921V02511","Type of Construction","UNIT","VALUE"
"BHQ03C1","Planning Permissions Granted","19833","1983Q3","12","Other new construction (excluding dwellings)","Number","935"
"BHQ03C1","Planning Permissions Granted","19833","1983Q3","2","Extensions","Number","2244"
"BHQ03C1","Planning Permissions Granted","19833","1983Q3","3","Alteration, conversion and renovation","Number","727"
"BHQ03C1","Planning Permissions Granted","19834","1983Q4","-","All types of construction","Number","5241"
"BHQ03C1","Planning Permissions Granted","19834","1983Q4","11","Dwellings","Number","2140"
"BHQ03C1","Planning Permissions Granted","19834","1983Q4","12","Other new construction (excluding dwellings)","Number","772"
"BHQ03C1","Planning Permissions Granted","19834","1983Q4","2","Extensions","Number","1723"
"BHQ03C1","Planning Permissions Granted","19834","1983Q4","3","Alteration, conversion and renovation","Number","606"
"BHQ03C1","Planning Permissions Granted","19841","1984Q1","-","All types of construction","Number","4805"
"BHQ03C1","Planning Permissions Granted","19841","1984Q1","11","Dwellings","Number","2107"
"BHQ03C1","Planning Permissions Granted","19841","1984Q1","12","Other new construction (excluding dwellings)","Number","694"
"BHQ03C1","Planning Permissions Granted","19841","1984Q1","2","Extensions","Number","1410"
"BHQ03C1","Planning Permissions Granted","19841","1984Q1","3","Alteration, conversion and renovation","Number","594"
"BHQ03C1","Planning Permissions Granted","19842","1984Q2","-","All types of construction","Number","5734"
"BHQ03C1","Planning Permissions Granted","19842","1984Q2","11","Dwellings","Number","2487"
"BHQ03C1","Planning Permissions Granted","19842","1984Q2","12","Other new construction (excluding dwellings)","Number","741"
"BHQ03C1","Planning Permissions Granted","19842","1984Q2","2","Extensions","Number","1890"
"BHQ03C1","Planning Permissions Granted","19842","1984Q2","3","Alteration, conversion and renovation","Number","616"
"BHQ03C1","Planning Permissions Granted","19843","1984Q3","-","All types of construction","Number","6492"
"BHQ03C1","Planning Permissions Granted","19843","1984Q3","11","Dwellings","Number","2687"
"BHQ03C1","Planning Permissions Granted","19843","1984Q3","12","Other new construction (excluding dwellings)","Number","839"
"BHQ03C1","Planning Permissions Granted","19843","1984Q3","2","Extensions","Number","2247"
"BHQ03C1","Planning Permissions Granted","19843","1984Q3","3","Alteration, conversion and renovation","Number","719"
"BHQ03C1","Planning Permissions Granted","19844","1984Q4","-","All types of construction","Number","5328"
"BHQ03C1","Planning Permissions Granted","19844","1984Q4","11","Dwellings","Number","2118"
"BHQ03C1","Planning Permissions Granted","19844","1984Q4","12","Other new construction (excluding dwellings)","Number","777"
"BHQ03C1","Planning Permissions Granted","19844","1984Q4","2","Extensions","Number","1853"
"BHQ03C1","Planning Permissions Granted","19844","1984Q4","3","Alteration, conversion and renovation","Number","580"
"BHQ03C1","Planning Permissions Granted","19851","1985Q1","-","All types of construction","Number","4708"
"BHQ03C1","Planning Permissions Granted","19851","1985Q1","11","Dwellings","Number","1913"
"BHQ03C1","Planning Permissions Granted","19851","1985Q1","12","Other new construction (excluding dwellings)","Number","691"
"BHQ03C1","Planning Permissions Granted","19851","1985Q1","2","Extensions","Number","1548"
"BHQ03C1","Planning Permissions Granted","19851","1985Q1","3","Alteration, conversion and renovation","Number","556"
"BHQ03C1","Planning Permissions Granted","19852","1985Q2","-","All types of construction","Number","5769"
"BHQ03C1","Planning Permissions Granted","19852","1985Q2","11","Dwellings","Number","2367"
"BHQ03C1","Planning Permissions Granted","19852","1985Q2","12","Other new construction (excluding dwellings)","Number","848"
"BHQ03C1","Planning Permissions Granted","19852","1985Q2","2","Extensions","Number","2001"
"BHQ03C1","Planning Permissions Granted","19852","1985Q2","3","Alteration, conversion and renovation","Number","553"
"BHQ03C1","Planning Permissions Granted","19853","1985Q3","-","All types of construction","Number","6825"
"BHQ03C1","Planning Permissions Granted","19853","1985Q3","11","Dwellings","Number","2639"
"BHQ03C1","Planning Permissions Granted","19853","1985Q3","12","Other new construction (excluding dwellings)","Number","1030"
"BHQ03C1","Planning Permissions Granted","19853","1985Q3","2","Extensions","Number","2472"
"BHQ03C1","Planning Permissions Granted","19853","1985Q3","3","Alteration, conversion and renovation","Number","684"
