"STATISTIC","Statistic Label","TLIST(M1)","Month","C01947V02657","Local Authority","C02424V02930","Residential Units Commenced","UNIT","VALUE"
"HSM13","Commencement Notices","201404","2014 April","92","Tipperary County","04","Number of residential units","Number","2"
"HSM13","Commencement Notices","201404","2014 April","92","Tipperary County","05","Number of one-off residential units","Number","2"
"HSM13","Commencement Notices","201405","2014 May","01","Carlow (County Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201405","2014 May","01","Carlow (County Council)","04","Number of residential units","Number","1"
"HSM13","Commencement Notices","201405","2014 May","01","Carlow (County Council)","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201405","2014 May","02","Cavan (County Council)","03","Number of notices for residential development","Number","4"
"HSM13","Commencement Notices","201405","2014 May","02","Cavan (County Council)","04","Number of residential units","Number","4"
"HSM13","Commencement Notices","201405","2014 May","02","Cavan (County Council)","05","Number of one-off residential units","Number","4"
"HSM13","Commencement Notices","201405","2014 May","03","Clare (County Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201405","2014 May","03","Clare (County Council)","04","Number of residential units","Number","1"
"HSM13","Commencement Notices","201405","2014 May","03","Clare (County Council)","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201405","2014 May","04","Cork (County Council)","03","Number of notices for residential development","Number","2"
"HSM13","Commencement Notices","201405","2014 May","04","Cork (County Council)","04","Number of residential units","Number","5"
"HSM13","Commencement Notices","201405","2014 May","04","Cork (County Council)","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201405","2014 May","05","Donegal (County Council)","03","Number of notices for residential development","Number","5"
"HSM13","Commencement Notices","201405","2014 May","05","Donegal (County Council)","04","Number of residential units","Number","5"
"HSM13","Commencement Notices","201405","2014 May","05","Donegal (County Council)","05","Number of one-off residential units","Number","5"
"HSM13","Commencement Notices","201405","2014 May","06","Fingal (County Council)","03","Number of notices for residential development","Number","10"
"HSM13","Commencement Notices","201405","2014 May","06","Fingal (County Council)","04","Number of residential units","Number","11"
"HSM13","Commencement Notices","201405","2014 May","06","Fingal (County Council)","05","Number of one-off residential units","Number","9"
"HSM13","Commencement Notices","201405","2014 May","07","Galway (County Council)","03","Number of notices for residential development","Number","4"
"HSM13","Commencement Notices","201405","2014 May","07","Galway (County Council)","04","Number of residential units","Number","4"
"HSM13","Commencement Notices","201405","2014 May","07","Galway (County Council)","05","Number of one-off residential units","Number","4"
"HSM13","Commencement Notices","201405","2014 May","08","Kerry (County Council)","03","Number of notices for residential development","Number","4"
"HSM13","Commencement Notices","201405","2014 May","08","Kerry (County Council)","04","Number of residential units","Number","4"
"HSM13","Commencement Notices","201405","2014 May","08","Kerry (County Council)","05","Number of one-off residential units","Number","4"
"HSM13","Commencement Notices","201405","2014 May","09","Kildare (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201405","2014 May","09","Kildare (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201405","2014 May","09","Kildare (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201405","2014 May","10","Kilkenny (County Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201405","2014 May","10","Kilkenny (County Council)","04","Number of residential units","Number","1"
"HSM13","Commencement Notices","201405","2014 May","10","Kilkenny (County Council)","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201405","2014 May","11","Laois (County Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201405","2014 May","11","Laois (County Council)","04","Number of residential units","Number","1"
"HSM13","Commencement Notices","201405","2014 May","11","Laois (County Council)","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201405","2014 May","12","Leitrim (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201405","2014 May","12","Leitrim (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201405","2014 May","12","Leitrim (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201405","2014 May","14","Longford (County Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201405","2014 May","14","Longford (County Council)","04","Number of residential units","Number","6"
"HSM13","Commencement Notices","201405","2014 May","14","Longford (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201405","2014 May","15","Louth (County Council)","03","Number of notices for residential development","Number","4"
"HSM13","Commencement Notices","201405","2014 May","15","Louth (County Council)","04","Number of residential units","Number","4"
"HSM13","Commencement Notices","201405","2014 May","15","Louth (County Council)","05","Number of one-off residential units","Number","4"
"HSM13","Commencement Notices","201405","2014 May","16","Mayo (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201405","2014 May","16","Mayo (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201405","2014 May","16","Mayo (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201405","2014 May","17","Meath (County Council)","03","Number of notices for residential development","Number","4"
"HSM13","Commencement Notices","201405","2014 May","17","Meath (County Council)","04","Number of residential units","Number","4"
"HSM13","Commencement Notices","201405","2014 May","17","Meath (County Council)","05","Number of one-off residential units","Number","4"
"HSM13","Commencement Notices","201405","2014 May","18","Monaghan (County Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201405","2014 May","18","Monaghan (County Council)","04","Number of residential units","Number","1"
"HSM13","Commencement Notices","201405","2014 May","18","Monaghan (County Council)","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201405","2014 May","19","Offaly (County Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201405","2014 May","19","Offaly (County Council)","04","Number of residential units","Number","1"
"HSM13","Commencement Notices","201405","2014 May","19","Offaly (County Council)","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201405","2014 May","20","Roscommon (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201405","2014 May","20","Roscommon (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201405","2014 May","20","Roscommon (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201405","2014 May","21","Sligo (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201405","2014 May","21","Sligo (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201405","2014 May","21","Sligo (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201405","2014 May","25","Westmeath (County Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201405","2014 May","25","Westmeath (County Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201405","2014 May","25","Westmeath (County Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201405","2014 May","26","Wexford (County Council)","03","Number of notices for residential development","Number","2"
"HSM13","Commencement Notices","201405","2014 May","26","Wexford (County Council)","04","Number of residential units","Number","2"
"HSM13","Commencement Notices","201405","2014 May","26","Wexford (County Council)","05","Number of one-off residential units","Number","2"
"HSM13","Commencement Notices","201405","2014 May","27","Wicklow (County Council)","03","Number of notices for residential development","Number","2"
"HSM13","Commencement Notices","201405","2014 May","27","Wicklow (County Council)","04","Number of residential units","Number","12"
"HSM13","Commencement Notices","201405","2014 May","27","Wicklow (County Council)","05","Number of one-off residential units","Number","1"
"HSM13","Commencement Notices","201405","2014 May","29","Cork (City Council)","03","Number of notices for residential development","Number","0"
"HSM13","Commencement Notices","201405","2014 May","29","Cork (City Council)","04","Number of residential units","Number","0"
"HSM13","Commencement Notices","201405","2014 May","29","Cork (City Council)","05","Number of one-off residential units","Number","0"
"HSM13","Commencement Notices","201405","2014 May","30","Dublin (City Council)","03","Number of notices for residential development","Number","3"
"HSM13","Commencement Notices","201405","2014 May","30","Dublin (City Council)","04","Number of residential units","Number","3"
"HSM13","Commencement Notices","201405","2014 May","30","Dublin (City Council)","05","Number of one-off residential units","Number","3"
"HSM13","Commencement Notices","201405","2014 May","32","Dun Laoire/Rathdown (County Council)","03","Number of notices for residential development","Number","1"
"HSM13","Commencement Notices","201405","2014 May","32","Dun Laoire/Rathdown (County Council)","04","Number of residential units","Number","1"
